NM-01998,12847,32.08066850141228,-103.10406042589959
SB-0561,,31.167497879383202,-105.32639367055354
NM-26509,,36.71266543931306,-105.44391443344455
NM-12166,10976,33.16987157741547,-103.51578651004914
NM-23019,LOS ANGELES 1,35.18421039251416,-106.60419395764504
NM-02102,MBOWN-93 - ,32.16399786565049,-107.0747365088626
NM-11375,,33.05482978646467,-107.31113660185206
NM-19002,,34.47699078910799,-105.23083234888524
NM-21420,,34.98533658794005,-106.68252282399011
NM-20093,10295,34.683369705605436,-103.0732775595332
NM-26703,WELL 2/ Don Anderson,36.85862617241396,-105.62194711053507
NM-21370,,34.98002982087306,-106.49557281000438
NM-21925,WELL NO2,35.070085517917036,-106.46002571384244
NM-21398,82,34.9842283118518,-106.2950214799689
NM-25955,RG-5488,36.19637349507041,-105.85724131658604
WL-0053,Pendaries Village Well #1,35.82653105446186,-105.40186072984999
NM-02823,Alto Lakes  9,33.40367819305867,-105.66874609171668
SM-4048,WC203,32.805558135674616,-105.7294924892361
PC-141,Johnsonbaugh Spg,35.35051883003706,-106.3900807539191
NM-15003,12581,33.686164495781924,-103.18355570978107
NM-18028,10599,34.33227503168004,-103.70357069428535
NM-03128,11300,34.44567627557333,-103.49551394112284
NM-24098,UP-2196,35.48895365950629,-105.67863047746717
OG-0033,well 18 - 2,34.48538501152321,-103.4427708921103
NM-23348,RG-74771,35.242476284036655,-106.33505269680424
NM-05221,488,32.18843183702199,-107.76725241136307
NM-08372,12205,32.685984293105065,-103.41937630201463
NM-06974,6755,32.4626217161065,-104.23994869923382
NM-08731,AC-1,32.73566590460035,-107.26363784466804
MI-0076,D.W. Blauvelt,35.43199436630628,-105.41918152399055
NM-09696,5061,32.82870661993189,-104.39441208416544
NM-07825,,32.61170848919976,-107.41169115280108
DE-0018,Sayer 12 (aka NGL Well 16),32.187078737651596,-103.5928931712651
NM-08480,349,32.70091465176869,-108.03698803320322
NM-10600,5000,32.94591653011485,-104.44079276057164
NM-02501,10165,32.63618625495507,-104.37162925099331
DE-0002,Dean 2,32.46597818963913,-104.58385684354464
NM-16880,,34.14812125874776,-104.48358620769187
NM-14229,12990,33.43038417245932,-104.52941085778654
TO-0257,,34.801651302497774,-106.30223784575183
NM-20084,10700,34.676778822620044,-103.70745891255373
NM-14266,,33.435365746037874,-108.85395734240903
NM-14917,10797,33.6500568040131,-104.37719400000445
NM-08819,11770,32.749248442377365,-103.42243289778197
NM-07296,G 872; 872,32.52226767966125,-107.98252876563197
NM-09170,,32.78511433463003,-103.53883548779824
NM-04553,751,32.08617433492156,-107.75919661475032
NM-24415,UP-1794,35.57223683879965,-105.40389760566303
NM-14443,10104,33.48314798955117,-105.99082725494533
SA-0344,Cuchillo Negro Creek (CNC-W-81711),33.352861945674825,-107.6474548784009
NM-15632,11356,33.84950144466342,-103.05549604003237
NM-25780,WILLIE WELL; 19R-309,36.103355353116754,-107.81423135711192
NM-02903,11428,33.75729189717753,-103.2443924987301
NM-25069,5331,35.71534999772913,-103.23077799230084
NM-09083,5029,32.77311770203215,-108.19670916478341
NM-19694,10623,34.61733258462065,-103.8980158520986
NM-15911,,33.91063545403096,-106.8450196502723
NM-01001,11412,34.52557118711524,-103.05527382306204
NM-15515,10145,33.82150901846569,-103.13466278309971
NM-11144,12495,33.0176418054258,-103.06855089747181
NM-25781,RG-30781,36.10442651106307,-106.15640907781997
NM-07846,12336,32.61596406221869,-103.09853806986057
NM-24385,5295,35.56364082805045,-103.33301114149036
AH-049,SIER,36.53489261755423,-105.6695476138221
NM-06453,T-12,32.37429310374733,-106.49721142928577
NM-26471,,36.70499433958077,-108.09396074179877
NM-27585,10729,34.26928497326591,-103.19411101970648
NM-09861,10219,32.83432256454506,-103.20965259224283
NM-21747,IRR W 510,35.05528217997885,-107.47727008338772
SO-0242,SFC-W05B,33.61239235648585,-107.01760990225632
NM-13759,13257,33.39010303479278,-104.51552108612567
NM-14259,13005,33.43486524066771,-104.47719008210046
NM-19152,10440,34.514198458332245,-103.21384070060692
ED-0098,,32.4831841225735,-104.28528464984348
NM-18234,SECTION 31,34.361166799377465,-107.39420550249284
NM-20079,10602,34.67622052339962,-103.88858061517936
JM-021,Bar Bee Well,32.909814865598825,-107.12822690436238
NM-06361,1221,32.35895257903244,-107.56641279745406
NM-09030,6157,32.76397288066914,-104.36467971501507
DA-0115,O.D. South well,32.127989874664706,-107.24511795599196
NM-03893,26SS-33; 10156,31.820322249679922,-109.04361409377235
NM-01163,37-05876,34.95941675313975,-103.80916499222454
NM-05057,8086,32.163870887413566,-103.7447801740513
TO-0419,,34.96374133201486,-106.01229513851482
NM-22365,37-05758,35.112540933640155,-103.20967699967022
NM-20271,11461,34.70505130659031,-103.08744795895188
NM-01555,10018,35.99067856588934,-105.18269708354133
EB-400,Turquoise Hill 26.322,35.49928985827239,-106.06395447094931
NM-05980,10061,32.289816679591354,-107.67363453272513
QU-538,Tailings Toe,36.69218299147675,-105.62314491210056
NM-02978,,34.08731086457109,-107.92505787412341
TC-286,MONTOYA ALFREDO,37.02637676835983,-106.01076372393634
NM-20840,11447,34.82924118357453,-103.22689766607206
NM-11650,5293,33.09206911914981,-104.37051710485827
SB-0621,,31.923608983320594,-106.27444231492994
NM-01617,LINDRITH H,36.30971708881959,-107.39338142754588
SB-0471,LL-166 Morrison Well,31.67610759194518,-105.03111222984458
NM-17765,,34.279795499775595,-106.545018919716
NM-04512,11616,32.07628185414477,-103.27684578518361
NM-00509,10074,32.97322950768469,-107.40621939300654
NM-16381,,34.06119581710864,-107.13086965740004
